Comment,Designator,Footprint,LCSC Part #
"10n","C1, C3","C0603","C57112"
"100n","C2, C5, C6, C18, C19, C55, C460, C461, C460_2, C461_2","C0603","C14663"
"1n","C4","C0603","C1588"
"22u","C7, C117, C123","C0603","C59461"
"1n 250V","C8, C9, C17, C20, C21","C0603","C277510"
"470uF","C22","CP_Elec_10x10.5",""
"10u","C45, C46, C47, C48, C49, C50, C51, C52, C53, C54","C0805","C15850"
"1N4148WS","D1, D2, D3, D5, D6, D7, D8, D21, D22, D24, D37, D38, D41, D42, D45, D46, D53, D410, D412, D413, D414","SOD-323","C2128"
"LED-WHITE-0603","D4, D10, D33, D34, D35, D36","LED-0603","C2290"
"LED-RED-0603","D9, D13, D14, D15, D16, D17, D31, D32, D39, D40, D43, D44, D47, D48, D56, D57, D103","LED-0603","C2286"
"BAT54S","D18, D19, D23, D55, D58, VD100, VD101, VD102, VD103","SOT-23","C47546"
"PSM712-LF","D25, D28, D29, D411","SOT-23","C32677"
"B5819W","D26, D27, D49, D50, D51, D52, D64, D65, D66, D67, D68, D69, D70, D71, D72, D416, D417, D101, D107","SOD-123","C8598"
"nSMD050","F3, F4, F7","PAD-1206-PAD","C720075"
"RUSEFI_LOGO","G1","rusefi_logo",""
"LOGO","G3","LOGO",""
"LOGO_AlphaECU","G4","alphax_logo_AlphaECU",""
"LOGO_AlphaX","G5","alphax_logo_AlphaX",""
"ALPHAX_QR_CODE","G6","alphax_qr_code",""
"Disclaimer","G7","Off_Road_Disclaimer",""
"USB_C_Receptacle_USB2.0","J1","USB_C_Receptacle_XKB_U262-16XN-4BVC11","C2927038"
"Conn_01x01","J3","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J4","TestPoint_Pad_D2.0mm",""
"Conn_01x05_Male","J5","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"Conn_01x01","J7","MountingHole_4.5mm_Pad",""
"Conn_01x01","J8","MountingHole_4.5mm_Pad",""
"HCCPHPE24BGYB90F","P2","33311-24AW-2",""
"Pad","P4","PAD-TH",""
"Pad","P16","PAD-TH",""
"Pad","P17","PAD-TH",""
"Pad","P18","PAD-TH",""
"Pad","P19","PAD-TH",""
"Pad","P21","PAD-TH",""
"Pad","P22","PAD-TH",""
"Pad","P23","PAD-TH",""
"Pad","P24","PAD-TH",""
"Pad","P25","PAD-TH",""
"Pad","P26","PAD-TH",""
"Pad","P27","PAD-TH",""
"Pad","P28","PAD-TH",""
"AO3400A","Q1, Q3, Q4, Q8, Q9, Q10, Q11, Q12, Q17, Q20, Q22, Q23, Q24, Q27, Q29, Q31, Q51, Q101, Q103","SOT-23","C20917"
"PJM2319PSA","Q2, Q16","SOT-23","C411720"
"AO3401A","Q13, Q14, Q18, Q19, Q21, Q25, Q28, Q35, Q36, Q49, Q50, Q52, Q53, Q100, Q102","SOT-23","C15127"
"4.7k","R1, R2, R5, R26, R50, R51, R125, R170, R171, R175, R176, R180, R181, R185, R186, R190, R191, R196, R197, R200, R209, R218, R227, R236, R245, R257","R0603-4","C66697"
"5.6k","R3, R6","R0603","C23189"
"2k","R4, R18, R19, R34, R1126, R1131, R1135, R1136, R1139, R1141","R1206","C17944"
"4.7k","R7, R8, R14, R20, R27, R29, R30, R38, R39, R41, R42, R43, R44, R52, R53, R54, R55, R57, R86, R87, R88, R98, R99, R1100, R1101, R1102, R1103, R1104, R1105, R1106, R1107, R1108, R1109, R1110, R1111, R1112, R1113, R1125, R1127, R1128, R1129, R1132, R1137, R1138, R1140","R0603","C23162"
"4.7k","R9, R10, R11, R12, R21, R22, R23, R24, R35, R36, R37, R47, R72, R73","R1206","C17936"
"~","R13","R0603",""
"~","R15","R0603",""
"10k","R16","R0603","C25804"
"33k","R17, R120","R0603","C4216"
"470","R25","R0805","C17710"
"1.2k","R28, R78, R79, R80","R0603","C22765"
"2.7k","R31, R32","R0603","C13167"
"220","R33","R0805","C17557"
"SMD1206B035TF/16","F100, F101","R1206","C269114"
"750","R45","R0805","C17818"
"680k","R46, R74, R76, R93","R0603","C25822"
"~","R48","R0603",""
"Jumper-Pad-Pad","R56, R91","PAD-0805-PAD","C17477"
"6.8k","R58","R0603","C23212"
"~","R75","R0603",""
"3.3k","R81, R82, R83, R84, R85","R0603","C22978"
"~","R89","R0603",""
"MAX9924UAUB+","U1","MSOP-10_3x3mm_P0.5mm","C143633"
"JDY-33","U4","JDY-33",""
"TLE9201SG","U7","Infineon_PG-DSO-12-11","C112633"
"47u","C410, C412","C1206","C96123"
"100n","C411, C413, C420, C470, C203, C202, C207, C206, C205, C204, C217, C218, C225, C226","C0402","C307331"
"1u","C414, C415, C755, C758, C761, C762, C763, C765, C766, C767, C755_2, C758_2, C761_2, C762_2, C763_2, C765_2, C766_2, C767_2","C0402","C52923"
"10u","C421, C422, C423, C424, C425, C426","C0603","C96446"
"4.7u","C427","C0603","C19666"
"10n","C428, C756, C757, C760, C764, C768, C769, C756_2, C757_2, C760_2, C764_2, C768_2, C769_2, C213, C214","C0402","C15195"
"220p","C429","C0402","C1530"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421, D205","SMB","C78395"
"2.2uH","L420","L1210","C36828"
"MHT136UGCT","LED1, LED2, LED3, LED4","LED0402","C434447"
"6.8k","R410, R413","R0402","C25917"
"33k","R411, R424, R425, R474","R0402","C25779"
"1","R420","R0402","C25086"
"10k","R421, R426, R427, R757, R762, R763, R767, R768, R102, R107, R108, R109, R121, R127, R128, R141, R142, R757_2, R762_2, R763_2, R767_2, R768_2, R233, R234","R0402","C25744"
"68k","R422, R760, R760_2","R0402","C36871"
"12k","R423, R754, R754_2, R472","R0402","C25752"
"4.7k","R428, R144, R210","R0402","C25900"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"LMR14020","U420","SOP8","C187824"
"10","R461, R462, R463, R464, R466, R467, R468, R469, R461_2, R462_2, R463_2, R464_2, R466_2, R467_2, R468_2, R469_2","R0603","C22859"
"SN74LVC4245APWR","U460, U103, U460_2","TSSOP24","C7859"
"1n","C751, C135, C139, C141, C142, C751_2, C211, C209, C208, C201, C200, C216, C219, C215, C212, C227, C230, C231, C232, C233, C210, C143, C144, C145, C146","C0402","C1523"
"470n","C752, C752_2","C0402","C47339"
"100n","C753, C754, C759, C100, C101, C105, C108, C109, C110, C111, C112, C113, C118, C119, C120, C121, C122, C124, C126, C127, C128, C129, C130, C134, C147, C170, C175, C180, C185, C190, C195, C220, C221, C222, C270, C275, C280, C285, C753_2, C754_2, C759_2","C0402","C1525"
"2.2k","R751, R122, R123, R146, R147, R751_2","R0402","C25879"
"10k","R752, R753, R752_2, R753_2","R0805","C17414"
"100k","R755, R756, R758, R759, R755_2, R756_2, R758_2, R759_2, R471, R473","R0402","C25741"
"10","R761, R764, R769, R110, R111, R112, R113, R114, R115, R116, R117, R761_2, R764_2, R769_2","R0402","C25077"
"1k","R765, R766, R765_2, R766_2","R0402","C11702"
"SRV05-4-P-T7","U751, D102, D200, D201, D202, D203, D204, D206, D207, U751_2","SOT23-6","C85364"
"74AHC1G02","U752, U757, U752_2, U757_2","SOT23-5","C7463"
"MCP6004","U753, U170, U175, U180, U185, U190, U195, U753_2","TSSOP14","C50282"
"MAX9142","U754, U754_2","SO8","C18567"
"TJA1051T/3/1J","U100","SO8","C38695"
"REF3033","U102","SOT-23","C36658"
"PESD1CAN","D100","SOT-23","C343993"
"LPS22HBTR","U107","HLGA-10L","C94049"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"LDL1117S33R","U101","SOT-223","C435835"
"BTN","S100, S101","SMD-2_2.9x3.9x1.7","C115357"
"BLM18AG601SN1D","L100","L0603","C19330"
"680k","R222, R208, R207, R242, R243, R237, R250, R251, R225","R0402","C163456"
"510","R254, R255, R256, R258","R0402","C25123"
"470","R101, R118, R119","R0603-4","C25510"
"120","R100","R0603","C22787"
"100","R104, R106","R0603","C22775"
"74LVC2G17GW,125","U108, U109","SOT-363","C80500"
"32.768 kHz","Y101","SMD2012","C99009"
"18p","C132, C136","C0402","C1549"
"12p","C115, C116","C0402","C1547"
"10k","R129, R130","R0603-4","C29718"
"5.1k","R195","R0402","C25905"
"4.7u","C102, C103, C104, C106, C107, C137, C138, C140","C0402","C23733"
"2.2u","C114, C131, C223, C224, C229","C0402","C12530"
"0","R145","R0402","C17168"
"3.3n","C471","C0402","C26404"
"330p","C472","C0402","C13533"
"47p","C473","C0402","C1567"
"680p","C474","C0603","C1630"
"470k","R470","R0402","C25790"
"LMV321IDBVR","U470, U471","SOT23-5","C7972"
"STM32F767","U105","LQFP144","C91685"
"MWSA0503S-100MT","L421","MWSA0503","C408412"
"VND10N06TR-E","Q6, Q7, Q26, Q30, Q41, Q42, Q43, Q44, Q45, Q46, Q47, Q48","DPAK","C2149912"
"TF-014-H16","J100","SMD","C2874208"
"nSMD050-24V","F410","SMD1206","C70076"
"Fuse-5A-1206","F5, F6","SMD1206","C553924"
"nSMD005","F1, F2, F8, F9, F10, F11","PAD-1206-PAD","C70064"
"TLS115B0EJXUMA1","U411","PG-DSO-8","C3743696"
"4D03WGF1001T5E","R49","R0603-4","C425239"
"TXM20M0002503LFBEO00T","Y102","SMD5032-2P","C362485"
"SMCJ30A","D418","SMC","C320561"
"74LVC1G06SE-7","U110","SOT-353","C460519"
"HL-PST-1608H203BC","D105, D109, D110, D111, D112, D113, D114, D115, D116","LED0603","C497940"
"XL-1608UGC-04","D20, D751, D104, D108, D751_2","LED0603","C965804"
"1u","C133","C0603","C519559"
"430451012","J6","02x05","C277725"
"WAS3157B-6","U755, U756, U270, U275, U280, U285, U755_2, U756_2","SOT-363","C213161"
"0","R140","R0603x4","C1952"
"HCCPHPE24BKA90F","P1","33311-24AW-2","C5349068"
"750","R133","R0603","C23241"
"1500","R134","R0603","C22843"
